PERIODO,MES,PER,DIRECTORIO,SECUENCIA_P,HOGAR,REGIS,AREA,CLASE,FEX_C18,Departamento,Tipo de vivienda,P4010,P4020,P4030S1,P4030S1A1,P4030S2,P4030S3,P4030S4,P4030S4A1,P4030S5,P70,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5222S1,P5222S2,P5222S3,P5222S4,P5222S5,P5222S6,P5222S7,P5222S8,P5222S9,P5222S10,P5222S8A1,Total de personas en el hogar
20240101,1,2024,7655976,1,1,1,5.0,1,2540.5698577,Antioquia,Apartamento,1,4,1,1.0,1,1,1,2.0,1,1,2,1,1,1.0,1,1,1,3.0,3,,,,,550000.0,,1.0,,,,,,,,,,3
20240101,1,2024,7655977,1,1,1,5.0,1,2226.8419578,Antioquia,Apartamento,1,4,1,2.0,1,1,1,2.0,1,1,3,1,1,1.0,1,1,1,3.0,3,,,,,570000.0,,1.0,,,,,,,,,,2
20240101,1,2024,7655979,1,1,1,5.0,1,3423.4033939,Antioquia,Apartamento,1,4,1,1.0,1,1,1,2.0,1,1,4,2,1,1.0,1,1,1,3.0,1,,,180000000.0,1000000.0,,,1.0,,,,,,,,,,2
20240101,1,2024,7655980,1,1,1,5.0,1,6491.0240647,Antioquia,Apartamento,1,4,1,1.0,1,1,1,2.0,1,1,3,2,1,1.0,1,1,1,3.0,3,,,,,500000.0,,1.0,,,,,,,,,,4
20240101,1,2024,7655981,1,1,1,5.0,1,2173.8994824,Antioquia,Apartamento,1,4,1,1.0,1,1,1,2.0,1,1,2,2,1,1.0,1,1,1,3.0,2,,400000.0,50000000.0,600000.0,,,1.0,,1.0,,,,,,,,4
20240101,1,2024,7655982,1,1,1,5.0,1,3858.6803603,Antioquia,Apartamento,1,4,1,1.0,1,1,1,2.0,1,1,3,2,1,1.0,1,1,1,3.0,3,,,,,570000.0,,,,,,,,,1.0,,,4
20240101,1,2024,7655983,1,1,1,5.0,1,2243.6320347,Antioquia,Apartamento,1,2,1,1.0,1,1,1,2.0,1,1,3,3,1,1.0,1,1,1,3.0,3,,,,,400000.0,,1.0,,,,,,,,,,8
20240101,1,2024,7655984,1,1,1,5.0,1,1212.2493827,Antioquia,Apartamento,1,2,1,1.0,1,1,1,2.0,1,1,3,2,1,1.0,1,1,1,3.0,3,,,,,500000.0,,1.0,,,,,,,,,,4
20240101,1,2024,7655986,1,1,1,5.0,1,901.37418971,Antioquia,Apartamento,1,4,1,1.0,1,1,1,2.0,1,1,3,2,1,1.0,1,1,1,3.0,3,,,,,600000.0,,1.0,,,,,,,,,,2
20240101,1,2024,7655987,1,1,1,5.0,1,2011.3716987,Antioquia,Apartamento,1,4,1,1.0,1,1,1,2.0,1,1,3,2,1,1.0,1,1,1,3.0,3,,,,,400000.0,,1.0,,,,,,,,,,2
20240101,1,2024,7655991,1,1,1,5.0,1,1607.8203187,Antioquia,Apartamento,1,4,1,3.0,2,1,1,2.0,1,1,1,1,1,1.0,1,1,1,1.0,3,,,,,850000.0,,1.0,,,,,,,,,,1
20240101,1,2024,7655992,1,1,1,5.0,1,1543.8751292,Antioquia,Apartamento,1,4,1,3.0,1,1,1,2.0,1,1,2,1,1,1.0,1,1,1,3.0,3,,,,,950000.0,,1.0,,,,,,,,,,2
20240101,1,2024,7655993,1,1,1,5.0,1,1381.6684719,Antioquia,Apartamento,1,4,1,3.0,2,1,1,2.0,1,1,1,1,1,1.0,1,1,1,4.0,3,,,,,735000.0,,1.0,,,,1.0,,,,,,1
20240101,1,2024,7655994,1,1,1,5.0,1,1402.9418216,Antioquia,Apartamento,1,4,1,2.0,2,1,1,2.0,1,1,2,1,1,1.0,1,1,1,4.0,3,,,,,410000.0,,,,,,,,,1.0,,,2
20240101,1,2024,7655995,1,1,1,5.0,1,1484.395054,Antioquia,Apartamento,1,4,1,2.0,2,1,1,2.0,1,1,4,2,1,1.0,1,1,1,4.0,1,,,98.0,800000.0,,,,,,,,,,1.0,,,2
20240101,1,2024,7655996,1,1,1,5.0,1,1653.3606473,Antioquia,Apartamento,1,4,1,2.0,1,1,1,2.0,1,1,3,2,1,1.0,1,1,1,3.0,3,,,,,600000.0,,1.0,,,,,,,,,,3
20240101,1,2024,7655997,1,1,1,5.0,1,2337.6188299,Antioquia,Apartamento,1,4,1,3.0,2,1,1,2.0,1,1,2,1,1,1.0,1,1,1,4.0,3,,,,,820000.0,,1.0,,,,,,,,,,2
20240101,1,2024,7655998,1,1,1,5.0,1,1618.7441598,Antioquia,Casa,1,4,1,3.0,1,1,1,3.0,1,1,5,2,1,1.0,1,1,1,3.0,4,,,,1800000.0,,,1.0,,,,,,,,,,2
20240101,1,2024,7655999,1,1,1,5.0,1,649.17032362,Antioquia,Apartamento,1,4,1,3.0,1,1,1,2.0,1,1,4,3,1,1.0,1,1,1,3.0,3,,,,,1700000.0,,1.0,,,,,,,,,,4
20240101,1,2024,7656000,1,1,1,5.0,1,649.17032362,Antioquia,Apartamento,1,4,1,3.0,1,1,1,2.0,1,1,4,3,1,1.0,1,1,1,3.0,3,,,,,800000.0,,1.0,1.0,,,,,,,,,4
